District,Date,Rain (mm),Min Temp (°C),Max Temp (°C),Min Humidity (%),Max Humidity (%),Min Wind Speed (Kmph),Max Wind Speed (Kmph),Temp_Range,Humidity_Range,Wind_Range,Avg_Temp,Avg_Humidity,Month,Day,Year,Temp_Humidity_Range,AvgTemp_AvgHumidity,WindInteraction,precipitation,precipitation_flag
Adilabad,2023-02-01,0.0,17.483333333333334,31.78888888888889,46.577777777777776,83.71666666666667,0.4833333333333334,7.377777777777778,14.305555555555555,37.13888888888889,6.894444444444445,24.636111111111116,65.14722222222223,2.0,1.0,2023,531.2924382716051,1604.9742052469137,50.86567901234569,0.0,0
Bhadradri Kothagudem,2023-02-01,0.0,18.72173913043478,33.2695652173913,42.369565217391305,96.14347826086956,0.0,5.921739130434782,14.547826086956524,53.77391304347827,5.921739130434782,25.995652173913044,69.25652173913043,2.0,1.0,2023,782.2935349716447,1800.368449905482,35.06699432892248,0.0,0
Hanumakonda,2023-02-01,0.0,19.678571428571427,32.135714285714286,46.58571428571429,93.52142857142856,0.0,6.214285714285714,12.45714285714286,46.93571428571428,6.214285714285714,25.90714285714286,70.05357142857143,2.0,1.0,2023,584.6848979591838,1814.8878826530613,38.61734693877551,0.0,0
Hyderabad,2023-02-01,0.0,20.81875,30.9,40.0125,78.60625,0.0,16.412499999999998,10.081249999999995,38.59375,16.412499999999998,25.859375,59.309375,2.0,1.0,2023,389.0732421874999,1533.703369140625,269.3701562499999,0.04,0
Jagtial,2023-02-01,0.0,19.433333333333334,33.55555555555556,43.93888888888889,95.32777777777778,0.0,4.772222222222222,14.122222222222224,51.38888888888889,4.772222222222222,26.494444444444447,69.63333333333334,2.0,1.0,2023,725.7253086419754,1844.896481481482,22.77410493827161,0.0,0
Jangaon,2023-02-01,0.0,18.916666666666668,32.141666666666666,43.05833333333334,96.3,0.0,9.083333333333334,13.224999999999998,53.24166666666666,9.083333333333334,25.52916666666667,69.67916666666667,2.0,1.0,2023,704.1210416666664,1778.851059027778,82.50694444444446,0.04,0
Jayashankar,2023-02-01,0.0,19.018181818181816,33.372727272727275,45.23636363636364,93.7909090909091,0.0,4.881818181818182,14.35454545454546,48.554545454545455,4.881818181818182,26.195454545454545,69.51363636363637,2.0,1.0,2023,696.9784297520663,1820.941301652893,23.83214876033058,0.04,0
Jogulamba Gadwal,2023-02-01,0.0,17.45,31.34166666666667,41.65,93.55,0.0,8.841666666666667,13.89166666666667,51.9,8.841666666666667,24.395833333333336,67.6,2.0,1.0,2023,720.9775000000001,1649.1583333333333,78.17506944444445,0.0,0
Kamareddy,2023-02-01,0.0,18.68636363636364,31.477272727272727,44.39090909090909,91.96363636363635,0.0,8.0,12.79090909090909,47.57272727272728,8.0,25.081818181818186,68.17727272727274,2.0,1.0,2023,608.498429752066,1710.0099586776862,64.0,0.04,0
Karimnagar,2023-02-01,0.0,20.0125,31.7625,45.71875,93.0875,0.0,7.15625,11.75,47.368750000000006,7.15625,25.8875,69.403125,2.0,1.0,2023,556.5828125,1796.6733984375,51.2119140625,0.04,0
Khammam,2023-02-01,0.0,19.257142857142856,33.67619047619048,45.75238095238095,98.10952380952382,0.0,5.495238095238095,14.41904761904762,52.35714285714287,5.495238095238095,26.46666666666667,71.93095238095239,2.0,1.0,2023,754.940136054422,1903.77253968254,30.19764172335601,0.04,0
Kumuram Bheem,2023-02-01,0.0,18.08,32.013333333333335,45.65333333333333,85.3,0.0,7.793333333333334,13.933333333333335,39.64666666666667,7.793333333333334,25.046666666666667,65.47666666666666,2.0,1.0,2023,552.4102222222224,1639.9722444444442,60.73604444444445,0.04,0
Mahabubabad,2023-02-01,0.0,18.84375,32.96875,44.01875,96.7375,0.0,5.85,14.125,52.71875,5.85,25.90625,70.378125,2.0,1.0,2023,744.65234375,1823.23330078125,34.2225,0.0,0
Mahabubnagar,2023-02-01,0.0,17.1125,31.54375,39.9875,94.28125,0.0,6.925,14.43125,54.29375,6.925,24.328125,67.134375,2.0,1.0,2023,783.5266796875,1633.253466796875,47.955625,0.04,0
Mancherial,2023-02-01,0.0,19.89444444444445,32.855555555555554,45.53888888888889,87.55555555555556,0.0,6.344444444444445,12.961111111111109,42.016666666666666,6.344444444444445,26.375,66.54722222222222,2.0,1.0,2023,544.582685185185,1755.182986111111,40.25197530864198,0.0,0
Medak,2023-02-01,0.0,18.366666666666667,31.11904761904762,42.92380952380952,95.97142857142858,0.0,7.280952380952381,12.752380952380951,53.04761904761905,7.280952380952381,24.742857142857144,69.44761904761904,2.0,1.0,2023,676.4834467120182,1718.3325170068026,53.01226757369614,0.0,0
Medchal-Malkajgiri,2023-02-01,0.0,19.206666666666667,31.28,38.15333333333333,84.02,0.0,14.36,12.07333333333333,45.86666666666667,14.36,25.24333333333333,61.08666666666666,2.0,1.0,2023,553.7635555555554,1542.0310888888887,206.2096,0.04,0
Mulugu,2023-02-01,0.0,18.788888888888888,33.111111111111114,40.67777777777778,98.34444444444443,0.0,7.188888888888889,14.322222222222226,57.66666666666667,7.188888888888889,25.950000000000003,69.51111111111112,2.0,1.0,2023,825.9148148148151,1803.8133333333335,51.68012345679013,0.0,0
Nagarkurnool,2023-02-01,0.0,16.95,30.8,42.5,95.06,0.0,10.85,13.85,52.56,10.85,23.875,68.78,2.0,1.0,2023,727.9560000000001,1642.1225,117.7225,0.0,0
Nalgonda,2023-02-01,0.0,18.741935483870968,32.25806451612903,42.21935483870968,95.8,0.0,6.419354838709677,13.516129032258064,53.580645161290334,6.419354838709677,25.5,69.00967741935484,2.0,1.0,2023,724.2029136316338,1759.7467741935486,41.20811654526534,0.0,0
